kreatinin,hemoglobin,hematokrit yuzdesi,eritrosit sayisi,lokosit sayisi,trombosit sayisi,alanin - alt,aspartat - ast,ure,albumin,glikoz,sodyum,potasyum,klorur,oksijen doygunlugu - spo₂,Saglik_Durumu
3.12,16.5,49.65,7.4,12.57,359.4,134.65,111.6,8.14,3.45,89.71,145.11,5.47,111.0,95.08,2
0.69,14.44,48.28,6.37,14.3,291.5,76.41,65.89,10.39,2.91,111.28,140.62,4.37,102.0,0,1
0.67,12.31,47.93,7.56,13.75,210.31,42.93,35.52,16.67,2.61,0,153.1,5.4,103.03,95.53,1
0,15.01,0,5.68,15.29,428.51,171.77,127.41,0,3.88,88.02,0,5.79,114.68,0,7
1.33,21.37,53.17,0,12.63,219.74,48.23,21.69,12.91,3.71,111.0,148.12,5.16,109.41,95.58,4
0.81,13.47,38.21,6.35,15.74,326.68,0,61.22,12.03,3.65,89.12,142.41,3.59,117.49,99.65,1
2.32,14.84,53.04,6.75,13.89,204.88,140.27,113.26,8.42,3.14,104.04,0,5.01,101.66,99.12,2
0.73,13.64,53.26,7.97,0,0,33.84,0,0,3.67,99.51,151.31,5.44,104.42,99.33,5
1.46,13.57,49.69,6.54,8.91,350.09,47.26,50.07,25.97,3.3,80.16,147.15,0,111.31,98.07,1
3.4,13.93,40.76,6.94,11.65,243.81,137.44,0,16.03,3.46,107.57,144.69,4.0,100.83,98.16,2
0.96,15.74,49.2,8.33,48.97,206.95,80.04,34.34,19.24,2.88,113.93,153.3,4.86,111.53,95.91,6
1.74,16.36,45.51,7.67,7.87,257.1,108.55,62.26,0,3.02,79.65,121.78,4.17,107.68,95.36,10
0.45,9.0,53.03,8.08,13.33,0,48.88,22.1,17.26,2.8,0,150.74,4.79,110.19,96.25,3
0.8,17.91,38.97,7.14,11.72,259.88,84.03,36.59,12.36,3.25,153.26,151.82,3.64,104.89,97.2,8
1.58,16.52,51.68,8.29,16.9,352.06,81.32,62.64,10.18,2.63,118.45,152.79,6.82,117.39,99.16,11
1.73,13.96,47.62,6.05,21.51,389.07,26.37,15.49,18.81,3.94,113.33,151.74,5.74,117.93,0,5
1.7,16.33,38.66,5.51,55.06,180.62,21.92,37.43,24.71,3.61,92.86,139.47,5.06,116.51,98.95,6
0.84,0,44.02,6.51,6.6,0,90.76,43.69,21.81,3.33,79.91,123.13,5.22,113.98,98.2,10
0.41,10.83,44.82,0,14.46,171.71,0,63.82,23.62,3.54,99.67,144.63,3.51,0,96.07,3
0,16.7,0,7.01,11.33,185.6,129.87,92.02,18.63,3.03,100.84,147.89,3.83,115.12,97.9,2
2.67,17.94,45.89,6.88,13.99,342.36,149.52,89.53,9.63,0,113.06,150.62,3.98,114.16,97.03,2
0.57,13.91,50.1,5.61,11.97,285.43,141.51,109.18,19.05,3.07,81.93,141.97,4.6,111.54,98.0,7
0.56,13.72,0,6.78,10.71,309.22,76.14,35.32,7.4,3.13,103.9,143.22,6.53,106.73,95.61,11
1.5,14.07,45.03,6.53,7.1,390.5,56.44,15.75,8.49,3.73,115.48,127.02,4.0,103.18,95.21,10
0.6,16.07,0,8.47,10.71,331.36,84.99,37.35,0,3.4,87.35,151.56,7.23,112.23,0,11
1.68,16.29,50.13,8.08,0,303.35,38.37,27.95,0,2.75,156.5,143.0,3.61,0,99.3,8
0.94,17.53,42.49,6.21,41.24,0,62.96,15.34,15.3,3.93,91.94,142.5,4.35,103.41,96.86,6
1.55,12.31,40.46,5.92,10.44,281.42,141.69,109.07,26.7,3.48,115.5,139.84,4.76,116.09,97.35,7
0.45,0,48.67,6.54,0,269.05,43.02,21.33,26.24,2.76,92.38,125.45,4.71,113.51,95.61,10
0,13.97,48.29,5.63,12.45,426.86,95.77,35.75,7.31,3.71,114.27,143.28,6.51,114.63,96.2,11
0.76,16.52,46.79,5.69,13.83,280.35,39.14,55.76,10.44,3.71,144.88,145.52,0,100.02,98.21,8
0.65,15.14,41.45,0,8.58,346.58,35.56,27.69,14.28,3.38,156.15,146.45,4.29,0,97.31,8
0.99,14.69,54.13,6.48,7.93,175.93,165.66,126.82,24.6,2.84,0,138.59,4.75,112.09,97.37,7
0.55,15.21,46.03,7.41,6.71,298.18,0,26.42,24.29,3.75,144.16,152.13,5.5,104.77,0,8
1.64,15.06,48.85,8.44,9.66,223.06,42.39,62.24,17.46,3.81,163.38,142.39,5.26,0,98.45,8
0.93,13.33,38.1,7.16,8.28,290.04,37.99,42.77,0,2.7,82.09,0,7.53,103.44,97.37,11
0,13.2,49.87,6.51,16.85,382.73,64.63,57.16,11.96,2.6,80.57,148.78,7.35,109.74,0,11
3.17,13.16,51.24,7.54,9.06,375.31,148.52,99.04,22.15,3.03,92.27,142.07,5.59,110.44,99.41,2
1.54,16.12,47.84,7.82,11.25,375.0,83.23,49.82,21.75,1.35,107.26,139.33,4.57,107.03,99.72,9
1.58,16.48,51.73,8.26,14.12,411.42,47.2,62.65,14.23,2.67,156.64,151.9,4.42,117.72,95.37,8
1.57,15.66,50.11,7.77,16.62,195.2,0,37.69,0,0.8,86.79,153.98,3.96,116.11,96.17,9
0.57,15.9,0,8.29,46.71,0,59.43,29.46,21.24,3.04,100.22,140.93,3.85,106.26,99.49,6
0.92,12.36,0,5.83,52.14,256.97,73.66,29.65,25.46,3.38,93.17,151.3,4.94,114.88,97.43,6
0.71,15.84,52.83,6.35,16.25,394.4,36.78,42.56,23.27,0,141.89,140.64,5.09,112.98,96.01,8
0,14.11,42.91,5.94,14.96,391.93,55.69,56.56,0,3.5,153.73,139.96,4.93,105.57,96.49,8
1.29,15.63,46.76,6.0,6.24,410.74,75.26,46.91,22.65,2.96,0,141.39,7.36,100.75,98.05,11
0.57,17.64,46.16,6.45,15.41,265.17,35.89,30.32,0,3.04,92.86,122.61,4.25,0,97.83,10
0.72,12.85,41.74,6.86,10.07,0,73.24,55.62,22.47,3.52,90.87,152.81,0,103.26,96.51,11
0.97,15.05,42.5,6.83,66.08,403.11,0,65.32,10.95,3.7,112.36,138.22,4.92,105.48,95.36,6
0.41,14.57,0,6.18,19.46,304.34,68.73,46.14,23.52,0,92.72,143.07,4.29,101.82,0,5
1.17,16.8,38.9,6.52,13.58,247.99,39.42,37.76,18.85,1.54,94.17,141.58,5.5,106.05,95.83,9
1.35,12.11,42.28,0,7.27,331.88,70.52,0,23.01,3.56,101.89,0,4.24,101.42,98.65,10
2.94,13.94,40.82,7.77,8.89,0,133.74,96.45,17.11,3.89,97.62,148.08,3.87,100.91,99.3,2
1.49,14.78,49.76,7.19,9.32,414.86,43.55,64.75,13.39,3.35,87.09,146.77,4.9,101.03,96.56,1
1.33,14.67,49.48,6.03,13.62,216.79,47.87,40.04,7.87,3.17,95.99,139.93,6.66,117.31,96.88,11
1.5,9.41,46.42,7.16,13.17,205.68,107.47,36.21,13.16,3.4,75.29,145.17,4.38,104.59,99.46,3
1.78,14.67,41.83,6.55,0,314.01,92.01,0,12.63,3.43,161.53,141.9,5.71,100.65,96.71,8
0,9.93,44.37,7.99,11.87,334.28,49.48,19.23,10.74,3.4,88.16,152.72,4.81,113.22,98.95,3
0.68,13.27,53.79,6.97,0,425.31,45.3,49.34,20.89,2.72,110.07,138.98,4.47,103.17,98.6,1
0.94,0,46.02,7.74,19.14,358.82,41.9,40.84,7.52,3.27,99.08,140.28,3.67,115.11,98.48,5
1.29,15.61,45.35,8.24,18.43,302.54,76.7,43.86,13.74,2.67,95.06,147.58,0,117.84,98.12,5
1.7,15.47,45.55,7.79,13.19,263.29,63.99,28.16,24.37,3.26,105.51,0,6.36,103.6,97.07,11
0.69,17.26,37.57,6.9,14.85,389.46,32.67,33.27,0,3.74,81.55,124.95,4.23,102.43,97.79,10
0,14.26,51.14,6.18,13.26,326.81,29.83,45.86,10.56,2.94,79.82,147.05,4.64,100.42,98.0,1
3.2,12.74,42.59,6.1,15.42,241.56,139.05,111.1,12.12,3.37,76.57,151.29,3.71,112.47,95.81,2
0.73,16.09,46.26,7.92,19.05,0,0,0,22.55,3.24,105.15,142.52,4.45,102.27,97.25,5
0.55,12.54,44.51,6.13,15.45,179.71,30.94,26.97,24.76,3.46,107.49,0,6.34,105.48,95.57,11
1.75,15.72,40.54,7.15,12.64,203.7,51.46,64.19,24.16,3.54,88.01,140.89,3.71,103.66,95.56,1
1.32,14.6,41.96,6.09,7.75,234.07,93.59,0,24.3,3.1,115.83,0,4.63,101.2,97.01,10
1.02,9.67,51.34,8.32,9.79,302.97,0,0,21.38,3.66,0,138.17,4.53,109.2,0,3
0.44,14.65,43.59,0,9.56,0,76.48,44.92,22.15,0.91,97.66,153.51,4.77,0,98.25,9
1.67,13.93,41.22,5.77,13.95,273.16,163.93,151.08,13.17,2.77,103.86,0,3.77,116.66,98.21,7
0,0,42.56,5.71,14.19,242.7,79.3,22.45,23.04,3.97,148.91,139.65,3.7,101.16,95.35,8
1.48,15.53,37.86,0,9.5,0,14.68,20.19,16.24,3.92,108.71,141.76,6.8,106.02,95.77,11
0.49,0,44.89,6.95,9.96,182.18,46.96,65.17,15.88,1.25,114.81,140.99,5.19,117.4,98.69,9
3.74,0,39.43,6.38,13.99,271.38,144.02,99.06,13.69,3.81,100.51,139.79,5.55,111.3,0,2
0.85,12.77,37.5,7.36,18.55,193.38,92.44,49.6,11.61,2.95,98.75,138.6,4.04,117.41,99.91,5
1.64,13.61,39.79,5.8,16.26,427.12,17.02,63.93,11.47,3.78,80.37,145.45,4.02,102.24,98.56,1
1.22,12.8,37.47,8.3,60.86,190.98,69.69,65.9,15.3,3.71,0,148.94,5.69,0,0,6
3.01,12.99,42.14,8.11,6.98,207.63,158.04,99.2,19.04,3.12,94.08,144.04,4.63,113.89,98.23,2
0.68,15.41,41.96,6.81,7.73,173.05,0,0,11.16,2.75,77.28,140.16,6.92,115.14,99.77,11
1.72,0,42.32,8.26,15.27,170.6,76.71,59.19,25.44,3.57,140.41,144.08,5.11,110.36,96.19,8
0.8,14.24,44.16,7.38,8.66,354.7,72.42,41.11,19.89,3.85,88.73,151.0,6.58,109.48,99.56,11
1.72,10.99,50.85,7.12,14.78,260.96,51.09,28.54,19.81,2.84,75.92,148.63,4.49,117.05,97.47,3
0.87,12.13,53.98,8.18,16.3,379.0,27.12,59.76,12.46,2.62,116.31,127.46,5.48,101.05,0,10
0.64,15.73,49.92,0,14.83,264.47,157.8,103.31,0,3.16,89.2,145.83,3.65,116.1,95.81,7
0,14.62,41.39,5.77,0,405.6,66.11,40.39,14.52,3.69,93.08,138.96,5.51,113.23,95.78,5
0.68,19.86,42.84,7.98,11.33,418.99,0,0,23.43,2.75,99.14,142.72,4.11,107.62,99.6,4
1.2,14.26,46.76,7.94,11.97,288.56,20.71,0,18.13,0,0,142.52,4.61,0,96.03,9
1.02,15.99,38.92,5.62,14.98,336.09,71.89,48.04,16.01,1.03,75.08,141.39,3.75,105.33,96.49,9
0.73,15.05,45.68,5.88,6.61,186.29,26.1,55.08,25.11,2.81,140.57,145.17,5.5,107.71,96.79,8
0.58,13.45,44.6,8.08,9.17,365.82,13.25,49.28,26.56,0,114.67,144.09,7.31,104.01,97.22,11
0.64,13.8,37.92,7.46,62.28,238.98,53.7,31.43,25.0,3.97,113.25,146.08,5.51,101.63,99.53,6
1.51,9.78,45.66,7.7,14.15,418.49,0,21.91,10.63,3.91,75.16,146.84,3.67,0,98.27,3
1.14,15.81,39.96,6.35,7.45,416.96,0,0,21.75,3.55,100.73,150.33,7.3,105.28,96.91,11
1.58,12.9,37.21,8.03,42.16,342.89,14.92,40.89,14.1,2.85,108.35,146.06,5.12,116.77,97.11,6
0,13.46,44.59,7.05,19.02,420.11,29.44,30.44,21.28,0,96.25,153.79,4.6,113.9,95.83,5
0.9,9.96,39.78,5.74,11.21,380.86,57.59,0,10.12,2.61,109.37,145.33,5.67,107.27,95.79,3
1.69,21.9,0,8.36,12.84,0,38.51,0,9.43,2.83,116.56,0,5.62,113.04,96.7,4
1.09,10.42,52.95,7.04,9.5,374.79,89.21,0,13.89,3.85,92.0,139.11,0,104.68,98.93,3
1.21,15.19,41.91,6.66,14.82,330.91,39.75,64.59,24.31,3.14,144.07,0,5.15,102.23,0,8
0.99,17.87,41.34,8.23,0,251.57,161.25,104.38,13.62,3.21,81.23,143.6,4.73,111.46,98.49,7
1.75,22.76,0,7.54,8.33,409.6,0,24.42,26.48,2.86,106.17,138.92,3.93,102.06,99.59,4
0.42,16.79,48.51,7.2,48.72,304.84,47.49,36.11,13.13,2.75,95.73,150.29,5.75,106.16,95.41,6
1.8,0,54.54,6.47,39.35,163.47,16.39,18.58,21.39,3.03,111.13,153.0,5.56,103.08,97.49,6
0.86,0,54.87,7.35,16.02,0,13.01,20.91,16.88,3.86,104.47,148.1,4.16,114.46,99.42,3
1.17,0,44.9,7.84,19.84,303.53,51.89,49.67,25.22,3.25,96.63,145.68,5.13,100.06,99.68,5
0.99,15.76,51.98,6.77,39.59,302.15,27.05,38.27,12.07,0,0,0,3.61,108.75,96.51,6
1.18,12.4,53.47,8.38,56.9,215.3,86.36,55.69,18.27,2.63,103.45,143.26,3.99,113.13,96.53,6
0.55,16.33,45.01,6.53,6.34,332.86,92.16,30.84,11.31,3.44,168.23,146.38,5.49,110.17,95.5,8
1.19,13.9,49.09,7.85,55.27,209.02,40.92,28.6,17.62,0,103.64,0,3.7,0,97.46,6
1.16,12.97,50.75,6.84,21.91,304.56,77.8,0,9.11,2.93,109.36,152.69,4.42,109.15,96.13,5
1.39,0,51.28,8.48,10.3,341.81,0,33.44,21.41,3.75,97.19,144.79,5.57,109.2,97.23,3
1.36,15.78,40.65,6.63,15.98,382.2,0,148.02,15.82,3.28,109.33,143.57,0,110.95,96.76,7
1.09,9.49,53.77,8.16,6.62,419.1,18.59,32.55,9.79,3.74,105.11,150.46,5.54,106.3,96.23,3
1.27,9.48,38.52,5.72,15.94,318.72,100.98,34.22,24.66,2.93,0,152.52,0,109.83,96.12,3
1.17,14.87,0,6.78,10.88,391.79,92.55,43.17,24.06,3.32,157.49,144.5,3.77,103.51,95.12,8
1.57,14.23,51.71,6.5,13.92,0,107.42,61.3,19.87,2.96,92.5,146.82,4.58,114.27,99.32,1
1.1,9.38,50.22,7.02,14.6,379.96,0,65.18,9.95,3.33,91.18,142.95,3.56,106.5,98.02,3
1.01,16.1,44.71,5.56,6.24,380.13,101.03,43.26,23.07,3.48,115.24,151.0,5.01,108.66,98.44,1
1.0,14.14,0,7.98,10.23,371.19,87.67,24.78,15.16,3.51,144.19,138.18,0,115.9,96.37,8
0.71,16.11,39.37,7.46,0,204.15,102.04,0,0,3.99,148.93,148.33,5.08,109.37,97.27,8
0.57,15.43,52.56,6.62,0,303.83,16.61,35.09,11.86,2.62,101.33,139.36,0,115.25,0,6
1.21,15.88,37.74,7.9,9.25,161.01,81.99,21.02,15.2,2.64,93.17,151.73,4.29,0,95.04,1
3.57,0,43.5,6.07,8.19,190.81,150.43,86.59,10.78,3.07,102.48,144.71,5.26,109.92,97.82,2
0.77,12.15,49.77,7.34,20.75,400.5,89.28,34.32,8.98,3.31,116.81,0,3.56,113.61,0,5
0.61,14.68,0,7.85,15.46,191.48,43.19,0,20.91,3.52,106.54,141.25,3.85,102.9,96.99,1
0.69,14.43,0,0,10.67,301.95,52.94,63.16,19.42,2.92,113.48,147.34,7.33,116.18,95.54,11
1.74,17.47,39.17,0,9.22,367.36,70.9,33.29,14.0,3.63,157.2,152.02,5.64,112.25,96.03,8
0.94,16.21,47.85,8.11,63.4,331.17,0,26.11,9.25,3.29,91.55,145.31,0,113.69,99.86,6
0.96,13.49,0,6.16,19.14,281.84,33.81,43.05,13.83,4.0,111.83,153.26,4.86,103.39,95.71,5
0.46,13.68,38.15,7.41,7.84,277.37,69.34,37.56,8.31,2.97,75.13,126.39,4.34,105.5,0,10
1.57,17.42,42.57,7.28,20.84,273.91,92.81,37.36,7.29,2.93,100.19,153.16,3.93,105.11,97.06,5
0.88,16.85,39.7,7.89,0,202.8,0,23.73,24.92,3.87,89.32,140.91,5.07,100.77,97.69,6
